codebook_index,density,count
0,8.28731571081688e-06,6
1,0.00032320531272185836,234
2,0.0002044204542001497,148
3,0.0005207196704963273,377
4,0.0008273503517965519,599
5,0.00014917168279470386,108
6,2.624316641758679e-05,19
8,2.07182892770422e-05,15
9,2.3480727847314495e-05,17
10,0.0003273489705772668,237
11,0.0002154702084812389,156
12,1.3812192851361468e-05,10
13,0.0003162992162961776,229
14,7.044218354194349e-05,51
15,0.00011187876209602789,81
16,4.4199017124356696e-05,32
17,0.00027900629559750165,202
19,1.3812192851361468e-06,1
20,0.0001063538849554833,77
22,0.0007223776861262047,523
23,0.00035359213699485357,256
24,0.00010082900781493871,73
25,0.00035359213699485357,256
26,0.0007127091511302517,516
27,2.3480727847314495e-05,17
29,0.00024033215561368955,174
30,3.867413998381211e-05,28
31,4.005535926894826e-05,29
32,0.0004820455305125152,349
33,6.76797449716712e-05,49
34,0.0014102248901240058,1021
35,4.9723894264901284e-05,36
37,0.00020856411205555817,151
38,0.00017265241064201835,125
39,0.001723761667849911,1248
40,4.005535926894826e-05,29
41,0.0005331506440625527,386
42,0.0008384001060776411,607
44,3.867413998381211e-05,28
45,0.0016961372821471883,1228
46,0.0012071856552089923,874
47,0.0005593938104801394,405
48,0.00024309459418396184,176
49,0.0002707189798866848,196
50,0.00026105044489073176,189
51,0.00010359144638521101,75
52,0.00034392360199890054,249
53,0.00014364680565415926,104
54,4.14365785540844e-05,30
55,0.00015469655993524843,112
56,1.9337069991906054e-05,14
57,2.07182892770422e-05,15
58,0.00013674070922847854,99
59,0.00017541484921229064,127
60,1.1049754281089174e-05,8
61,2.07182892770422e-05,15
63,0.00035221091770971745,255
64,4.4199017124356696e-05,32
65,0.00012845339351766165,93
66,0.00023204483990287266,168
67,0.00045027748695438384,326
68,0.0002776250763123655,201
69,8.977925353384954e-05,65
70,2.2099508562178348e-05,16
71,3.867413998381211e-05,28
72,8.149193782303266e-05,59
73,0.00018508338420824367,134
74,9.11604728189857e-05,66
75,0.0001533153406501123,111
76,1.1049754281089174e-05,8
77,4.14365785540844e-05,30
79,0.0006298359940220829,456
80,1.7955850706769907e-05,13
81,3.453048212840367e-05,25
82,3.867413998381211e-05,28
83,0.0003867413998381211,280
84,0.00014088436708388697,102
85,0.00022375752419205578,162
86,5.524877140544587e-06,4
87,0.00024585703275423415,178
88,2.3480727847314495e-05,17
89,0.00016712753350147375,121
90,0.0002044204542001497,148
91,0.0011919922430724946,863
92,0.0006063552661747685,439
93,0.00046270846052060916,335
94,9.668534995953027e-06,7
95,9.944778852980257e-05,72
96,8.28731571081688e-06,6
97,2.07182892770422e-05,15
98,0.00010773510424061944,78
99,0.0006795598882869843,492
100,0.0009419915524628521,682
101,0.0002099453313406943,152
102,5.524877140544587e-06,4
103,4.005535926894826e-05,29
104,0.000526244547636872,381
105,1.3812192851361468e-06,1
106,1.1049754281089174e-05,8
107,4.834267497976514e-05,35
108,1.2430973566225321e-05,9
109,7.596706068248807e-05,55
110,2.7624385702722935e-06,2
111,0.00010221022710007486,74
112,0.0003190616548664499,231
113,0.00019889557705960514,144
114,0.00023756971704341724,172
115,0.00011049754281089174,80
116,0.00015469655993524843,112
117,0.00020718289277042203,150
119,5.939242926085431e-05,43
120,1.3812192851361468e-06,1
121,0.0002983433655894077,216
122,0.00033977994414349213,246
123,8.28731571081688e-06,6
124,2.624316641758679e-05,19
125,0.0005041450390746936,365
126,0.001683706308580963,1219
127,0.0003812165226975765,276
128,2.624316641758679e-05,19
129,9.11604728189857e-05,66
130,0.00013259705137307008,96
131,1.5193412136497615e-05,11
133,2.7624385702722935e-06,2
