codebook_index,density,count
0,3.378115011823403e-05,13
1,0.00038198685133695396,147
2,0.0003014318010550113,116
3,0.0005456955019099343,210
4,0.0008341345529194709,321
5,0.00023386950081854326,90
6,2.3386950081854325e-05,9
7,2.598550009094925e-06,1
8,4.9372450172803576e-05,19
9,2.8584050100044176e-05,11
10,0.00020528545071849907,79
11,0.00023646805082763817,91
12,5.19710001818985e-06,2
13,0.00032481875113686564,125
14,8.055505028194268e-05,31
15,8.31536002910376e-05,32
16,5.716810020008835e-05,22
17,0.0004053738014188083,156
19,2.598550009094925e-06,1
20,7.795650027284775e-05,30
22,0.0003845854013460489,148
23,0.0004469506015643271,172
24,7.27594002546579e-05,28
25,0.0004963230517371307,191
26,0.0007691708026920978,296
27,1.559130005456955e-05,6
29,0.00019489125068211936,75
30,2.8584050100044176e-05,11
31,4.15768001455188e-05,16
32,0.0004807317516825611,185
33,5.4569550190993424e-05,21
34,0.0010368214536288752,399
35,2.3386950081854325e-05,9
37,9.874490034560715e-05,38
38,0.0002884390510095367,111
39,0.001385027154847595,533
40,2.5985500090949252e-05,10
41,0.0005742795520099784,221
42,0.0009120910531923187,351
44,4.677390016370865e-05,18
45,0.00156172855546605,601
46,0.0014369981550294935,553
47,0.0007094041524829145,273
48,0.00030662890107320117,118
49,0.0002936361510277265,113
50,0.00017670140061845491,68
51,0.00011693475040927163,45
52,0.0001870956006548346,72
53,4.677390016370865e-05,18
54,2.5985500090949252e-05,10
55,0.00012213185042746148,47
56,2.3386950081854325e-05,9
57,8.055505028194268e-05,31
58,9.35478003274173e-05,36
59,0.00021567965075487878,83
60,1.2992750045474626e-05,5
61,3.378115011823403e-05,13
63,0.00047293610165527635,182
64,4.677390016370865e-05,18
65,0.00021567965075487878,83
66,0.0003508042512278149,135
67,0.00041576800145518803,160
68,0.0003430086012005301,132
69,0.0001143362004001767,44
70,3.11826001091391e-05,12
71,3.637970012732895e-05,14
72,0.00022347530078216355,86
73,0.00024686225086401785,95
74,7.535795026375282e-05,29
75,0.00018969415066392954,73
76,2.07884000727594e-05,8
77,2.07884000727594e-05,8
79,0.0008783099030740847,338
80,1.03942000363797e-05,4
81,6.756230023646805e-05,26
82,1.8189850063664474e-05,7
83,0.0003040303510641062,117
84,0.00024166515084582803,93
85,0.00019229270067302445,74
86,2.07884000727594e-05,8
87,0.0005456955019099343,210
88,6.23652002182782e-05,24
89,0.00018969415066392954,73
90,0.00040017670140061844,154
91,0.001008237403528831,388
92,0.000623652002182782,240
93,0.0005742795520099784,221
94,2.5985500090949252e-05,10
95,0.0001143362004001767,44
96,5.19710001818985e-06,2
97,1.8189850063664474e-05,7
98,8.575215030013253e-05,33
99,0.0005119143517917002,197
100,0.0011615518540654315,447
101,0.00016370865057298027,63
102,2.598550009094925e-06,1
103,4.677390016370865e-05,18
104,0.0004287607515006626,165
106,4.677390016370865e-05,18
107,1.2992750045474626e-05,5
108,3.637970012732895e-05,14
109,9.094925031832237e-05,35
111,0.00018449705064573968,71
112,0.0005768781020190734,222
113,0.00035859990125509966,138
114,9.874490034560715e-05,38
115,0.00011953330041836656,46
116,0.00016370865057298027,63
117,0.00025725645090039756,99
119,3.8978250136423874e-05,15
121,0.0003170231011095809,122
122,0.00038198685133695396,147
123,7.795650027284775e-06,3
124,4.417535015461373e-05,17
125,0.0005015201517553205,193
126,0.0014655822051295377,564
127,0.00030922745108229605,119
128,2.5985500090949252e-05,10
129,6.496375022737313e-05,25
130,0.00023386950081854326,90
131,2.07884000727594e-05,8
134,5.19710001818985e-06,2
135,0.00010913910038198685,42
136,0.00037159265130057425,143
137,0.00022347530078216355,86
138,0.0006184549021645921,238
139,7.795650027284775e-06,3
140,0.0001351246004729361,52
141,5.19710001818985e-06,2
142,0.001003040303510641,386
143,0.0007899592027648572,304
144,1.2992750045474626e-05,5
145,0.00010913910038198685,42
146,0.00017410285060935997,67
147,5.19710001818985e-06,2
148,0.00035859990125509966,138
149,0.0004079723514279032,157
150,2.3386950081854325e-05,9
151,0.00017929995062754983,69
153,6.23652002182782e-05,24
154,0.0006028636021100226,232
155,0.00011693475040927163,45
156,0.0010290258036015903,396
157,3.637970012732895e-05,14
158,1.2992750045474626e-05,5
159,1.559130005456955e-05,6
160,0.00015331445053660058,59
161,5.19710001818985e-06,2
162,1.03942000363797e-05,4
163,0.00047293610165527635,182
164,0.00021567965075487878,83
165,0.00010134345035470208,39
166,0.0011043837538653432,425
167,0.0005768781020190734,222
168,0.0009484707533196476,365
169,2.3386950081854325e-05,9
170,0.0004365564015279474,168
171,0.0003560013512460047,137
172,5.19710001818985e-06,2
174,5.19710001818985e-06,2
175,0.0001974898006912143,76
176,0.0001870956006548346,72
177,0.00025205935088220774,97
178,2.07884000727594e-05,8
179,0.00017670140061845491,68
180,0.00012992750045474625,50
182,0.00020008835070030922,77
183,0.0012317127043109945,474
184,6.23652002182782e-05,24
185,7.016085024556298e-05,27
186,1.03942000363797e-05,4
187,0.00024426370085492297,94
189,0.00010913910038198685,42
190,3.11826001091391e-05,12
191,0.00027544630096406204,106
192,0.00030662890107320117,118
193,9.35478003274173e-05,36
194,0.00018969415066392954,73
195,0.00024166515084582803,93
197,1.559130005456955e-05,6
199,5.1971000181898504e-05,20
200,0.00019489125068211936,75
202,9.614635033651223e-05,37
203,0.00010394200036379701,40
204,7.795650027284775e-05,30
206,0.0002286724008003534,88
207,5.19710001818985e-06,2
208,0.0006132578021464023,236
209,0.00012992750045474625,50
210,8.575215030013253e-05,33
211,1.8189850063664474e-05,7
212,0.0001663072005820752,64
213,5.976665020918328e-05,23
216,4.9372450172803576e-05,19
217,0.0006964114024374399,268
218,0.0006548346022919211,252
219,2.598550009094925e-06,1
221,0.0008783099030740847,338
222,1.2992750045474626e-05,5
223,5.716810020008835e-05,22
224,8.835070030922746e-05,34
226,1.03942000363797e-05,4
227,4.9372450172803576e-05,19
228,1.559130005456955e-05,6
230,0.0006314476522100668,243
231,0.000901696853155939,347
232,0.00040017670140061844,154
233,3.637970012732895e-05,14
234,0.0007068056024738197,272
235,0.00021048255073668893,81
237,0.0005482940519190291,211
238,0.001008237403528831,388
242,0.0007509809526284333,289
244,2.07884000727594e-05,8
245,5.4569550190993424e-05,21
246,5.19710001818985e-06,2
247,0.00017929995062754983,69
249,0.00012213185042746148,47
250,0.00010394200036379701,40
251,0.00012732895044565134,49
252,8.575215030013253e-05,33
253,0.0007691708026920978,296
254,4.417535015461373e-05,17
255,7.795650027284775e-05,30
256,7.016085024556298e-05,27
257,4.9372450172803576e-05,19
259,0.0010965881038380583,422
260,7.795650027284775e-06,3
262,0.0007068056024738197,272
263,0.0007509809526284333,289
264,8.31536002910376e-05,32
265,5.4569550190993424e-05,21
266,1.559130005456955e-05,6
267,2.598550009094925e-06,1
268,2.598550009094925e-06,1
269,0.0007405867525920537,285
270,5.19710001818985e-06,2
271,0.00014292025050022087,55
272,9.094925031832237e-05,35
273,0.0001351246004729361,52
274,2.5985500090949252e-05,10
275,7.016085024556298e-05,27
276,1.03942000363797e-05,4
277,6.496375022737313e-05,25
281,9.614635033651223e-05,37
282,4.9372450172803576e-05,19
283,3.8978250136423874e-05,15
285,8.31536002910376e-05,32
286,0.00045474625159161187,175
287,0.0001455188005093158,56
288,9.35478003274173e-05,36
289,1.559130005456955e-05,6
290,3.637970012732895e-05,14
291,0.00021048255073668893,81
292,0.0008757113530649897,337
293,0.0001974898006912143,76
294,0.0007509809526284333,289
295,4.417535015461373e-05,17
296,0.00014292025050022087,55
297,0.001070602603747109,412
298,3.637970012732895e-05,14
299,0.00017670140061845491,68
300,0.0008887041031104643,342
301,3.8978250136423874e-05,15
302,0.001106982303874438,426
